language_code,language_name,candidate_tex_hits,open_license_payload_files,blocked_or_not_uploaded_rows,target,status
pl,Polish,20,0,20,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
cs,Czech,20,0,20,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
sk,Slovak,20,0,20,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
sl,Slovene,20,0,20,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
sr,Serbian,20,0,20,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
hr,Croatian,20,0,20,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
bs,Bosnian,20,0,20,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
cnr,Montenegrin,20,0,20,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
bg,Bulgarian,20,0,20,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
mk,Macedonian,17,0,17,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
be,Belarusian,0,0,0,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
hsb,Upper Sorbian,14,0,14,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
dsb,Lower Sorbian,14,0,14,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
