archive_path,source_basename,bytes,sha256,width_px,height_px,color_mode,embedded_dpi_x,embedded_dpi_y,modified_utc,category,public_disposition,parent_pdf_index_0based,parent_pdf_page_1based,printed_page,expose,linked_tex_object,linked_audit_entry,generator_script_basename,generator_source_sha256,generator_timestamp,generator_tool_class,generator_candidate_count,bbox_coordinate_system,bbox_fx0,bbox_fy0,bbox_fx1,bbox_fy1,render_dpi,processing_profile,description,session_read_count,first_read_timestamp,last_read_timestamp,viewer_attachment_count,viewer_attachment_sha256,viewer_attachment_dimensions,viewer_source_lanczos_max_mean_absolute_error,viewer_source_lanczos_max_changed_fraction,viewer_attachment_correlation,replay_disposition,qa_disposition,parent_scan_sha256
images/targeted_ultradetail/z597_bigtikz.png,z597_bigtikz.png,184124,A48BFD496D879C72E02D57D503D7183A556D661729FE7466E0A600D52D27FFE5,16338,5551,L,,,2026-07-27T14:55:16.087778+00:00,targeted_symbol_formula_ultradetail_crop,public_targeted_source_audit_evidence_no_license_grant,597,598,584,X Appendix,sga6_fr_workpass.tex,1349,zoom597.py,02871874145E92702C457879BA599CB835937BC47D6C0FFD5D8CBD6F3CBB9142,2026-07-27T14:54:54.263Z,Write,1,fraction_of_parent_page,0.16,0.275,0.8,0.415,4200,grayscale;autocontrast_cutoff_1;contrast_2.2;sharpness_1.6,(7.15) big tikzcd -- full diagram region to read all 4 hook labels + nodes + obliques,1,2026-07-27T14:55:22.700Z,2026-07-27T14:55:22.700Z,1,27DDD3BD10ACEC8B5AA86D7242CF36CAD30835F690B754D383284D40AFF9BA00,1998x679,0.025544690493,0.013648405401,PASS,dimensions_exact_renderer_version_pixel_drift_disclosed_source_identity_and_viewer_attachment_correlation_pass,opened_in_cold_source_reverification_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
images/targeted_ultradetail/z598_7161.png,z598_7161.png,72666,CC72BDF3BC1D80756FC07F00C6232DDE862397774FD46616EACF57B226CAF734,16216,2389,L,,,2026-07-27T15:03:32.385851+00:00,targeted_symbol_formula_ultradetail_crop,public_targeted_source_audit_evidence_no_license_grant,598,599,585,X Appendix,sga6_fr_workpass.tex,1350,zoom598.py,D82F004E7D4FF655B21CA31A338FD17EE2CA2EC3A137158711F71CEB33C004BB,2026-07-27T15:03:19.348Z,Write,1,fraction_of_parent_page,0.14,0.505,0.72,0.56,4600,grayscale;autocontrast_cutoff_1;contrast_2.3;sharpness_1.7,"(7.16.1) display: K_.(X_bar_t) -> K_.(X_bar_s) , -- verify accents + terminal comma",1,2026-07-27T15:03:37.903Z,2026-07-27T15:03:37.903Z,1,E0ECEC955F3ECEAE84192926C9A0D9152583147535D2A9A76CD919D707AA201D,1996x294,0.01871089117,0.01117370796,PASS,dimensions_exact_renderer_version_pixel_drift_disclosed_source_identity_and_viewer_attachment_correlation_pass,opened_in_cold_source_reverification_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
images/targeted_ultradetail/z604_KK.png,z604_KK.png,87198,D962F57759B55EC4E809AE786FF5A10697BB716623970F7373A5EF8C1A0EBC3E,20057,2266,L,,,2026-07-27T15:48:09.244843+00:00,targeted_symbol_formula_ultradetail_crop,public_targeted_source_audit_evidence_no_license_grant,604,605,591,X Appendix,sga6_fr_workpass.tex,1356,zoom604kk.py,5DF4B2ADD31A4B8DA635273097F8899856F95ECD4FA940C726CA95A499D37B0D,2026-07-27T15:48:01.271Z,Write,1,fraction_of_parent_page,0.05,0.225,0.6,0.265,6000,grayscale;autocontrast_cutoff_1;contrast_2.4;sharpness_1.8,"""Alors l'application F(k) --> K(K) est injective."" line, left half",1,2026-07-27T15:48:15.434Z,2026-07-27T15:48:15.434Z,1,1F615E17C626F72B08D254D12D56805C2EB9E2251ADB0B8D3A93A64B1092FD81,1992x225,0.047782240071,0.023380187416,PASS,dimensions_exact_renderer_version_pixel_drift_disclosed_source_identity_and_viewer_attachment_correlation_pass,opened_in_cold_source_reverification_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
images/targeted_ultradetail/z604_norm.png,z604_norm.png,127613,0C9258C8846512558CD52472B922C37475330B879FA7C2C0BE22ABCAE2113167,20058,3116,L,,,2026-07-27T15:49:31.409063+00:00,targeted_symbol_formula_ultradetail_crop,public_targeted_source_audit_evidence_no_license_grant,604,605,591,X Appendix,sga6_fr_workpass.tex,1356,zoom604norm.py,B8EEE0BA41680E28BFDEC6915D169EB7A4D9A6FF78569F69A2605080D10E75B6,2026-07-27T15:49:21.751Z,Write,1,fraction_of_parent_page,0.25,0.7,0.8,0.755,6000,grayscale;autocontrast_cutoff_1;contrast_2.4;sharpness_1.8,"N_{k'/k}:F(k') --> F(k), display (band c/d boundary, ~fy 0.70-0.755)",1,2026-07-27T15:49:38.374Z,2026-07-27T15:49:38.374Z,1,60CF63ABDF2AB56DBB4E18DE33C0F89A67EFB87DC5A7ABC597D56375109799CB,1996x310,0.031002327235,0.018154050036,PASS,dimensions_exact_renderer_version_pixel_drift_disclosed_source_identity_and_viewer_attachment_correlation_pass,opened_in_cold_source_reverification_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
images/targeted_ultradetail/z605_cmp.png,z605_cmp.png,112827,5F4F3BF44DC5D343EE829C30E6D0496EF67FC633C1AC22EE52573E595EAC2365,15316,5777,L,,,2026-07-27T16:03:45.376228+00:00,targeted_symbol_formula_ultradetail_crop,public_targeted_source_audit_evidence_no_license_grant,605,606,592,X Appendix,sga6_fr_workpass.tex,1357,zoom605cmp.py,D01557A4D9207A9D7C1F1D3EBED32650DDFC94D12E4DCB1F1768593C639D39A4,2026-07-27T16:03:30.428Z,Write,1,fraction_of_parent_page,0.04,0.112,0.32,0.18,9000,grayscale;autocontrast_cutoff_1;contrast_2.5;sharpness_1.9,"tall crop: (i)-terminal ""torsion[?]"" (top ~fy0.12) AND known period ""est injectif."" (band a line2 ~fy0.165)",1,2026-07-27T16:03:51.402Z,2026-07-27T16:03:51.402Z,1,EF1242C3B8AABA1DBF2EC0B7646A4675B5EB4E39B28189A286ABFB10907DFB12,1999x754,0.020528832055,0.008082953944,PASS,dimensions_exact_renderer_version_pixel_drift_disclosed_source_identity_and_viewer_attachment_correlation_pass,opened_in_cold_source_reverification_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
images/targeted_ultradetail/z605_ou.png,z605_ou.png,69707,AA7867B8FC5A4CDA1C327A1244EE414D538F37B829630F0D1FD3B129C3B904F9,21699,2643,L,,,2026-07-27T16:05:07.542304+00:00,targeted_symbol_formula_ultradetail_crop,public_targeted_source_audit_evidence_no_license_grant,605,606,592,X Appendix,sga6_fr_workpass.tex,1357,zoom605ou.py,C87974845A0DD29EDC34BB9AD6CED0C1761A811BDB8C5C27F913569F8A6B30BC,2026-07-27T16:04:57.641Z,Write,1,fraction_of_parent_page,0.04,0.61,0.55,0.65,7000,grayscale;autocontrast_cutoff_1;contrast_2.4;sharpness_1.8,"""de plus k infini, o[u/ù] qu'on peut definir"" band c line ~fy 0.625",1,2026-07-27T16:05:14.702Z,2026-07-27T16:05:14.702Z,1,1918662F4B63C88065C23373EEA631E33A70F750F127AF9094336FCEF4A1FC47,1995x243,0.048052229339,0.017067359757,PASS,dimensions_exact_renderer_version_pixel_drift_disclosed_source_identity_and_viewer_attachment_correlation_pass,opened_in_cold_source_reverification_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
images/targeted_ultradetail/z605_ou2.png,z605_ou2.png,75263,F72B9A95180E552225C4289359F1EDC870EDA38444BA24E6E0C79EB0A41860EE,21699,2644,L,,,2026-07-27T16:05:50.462426+00:00,targeted_symbol_formula_ultradetail_crop,public_targeted_source_audit_evidence_no_license_grant,605,606,592,X Appendix,sga6_fr_workpass.tex,1357,zoom605ou2.py,66546EA065A2C048D7C20ED780043F32CE3CF0EC8FCEC7F2DBD35A381FA84038,2026-07-27T16:05:33.622Z,Write,1,fraction_of_parent_page,0.04,0.672,0.55,0.712,7000,grayscale;autocontrast_cutoff_1;contrast_2.4;sharpness_1.8,"""de plus k infini, o[u/ù] qu'on peut definir des homomorphismes norme"" ~fy 0.675-0.712",1,2026-07-27T16:05:53.928Z,2026-07-27T16:05:53.928Z,1,026F27C8216D92700491411D13BA8E8DFEEE5CFD4C161429232AF2854C4FEEA9,1994x243,0.043143834797,0.016368034144,PASS,dimensions_exact_renderer_version_pixel_drift_disclosed_source_identity_and_viewer_attachment_correlation_pass,opened_in_cold_source_reverification_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
images/targeted_ultradetail/z605_ou3.png,z605_ou3.png,63524,FFF9659E04714C99430293D40106078D684A71FC1419FC1009F7F8D68A605742,23340,2191,L,,,2026-07-27T16:06:40.847580+00:00,targeted_symbol_formula_ultradetail_crop,public_targeted_source_audit_evidence_no_license_grant,605,606,592,X Appendix,sga6_fr_workpass.tex,1357,zoom605ou3.py,56C3EC61470462A630581872205C45BCC8A6FA9D236A673E2016378109E5198E,2026-07-27T16:06:10.677Z,Write,1,fraction_of_parent_page,0.04,0.651,0.52,0.68,8000,grayscale;autocontrast_cutoff_1;contrast_2.5;sharpness_1.9,"""de plus k infini, o[u/ù] qu'on peut definir"" ~fy 0.651-0.680",1,2026-07-27T16:06:47.090Z,2026-07-27T16:06:47.090Z,1,671D4F77DA1AAE083BB776FA05F53F069B03B5C73C3806B7ED766F1AABF19D06,1992x187,0.047215600369,0.017438738913,PASS,dimensions_exact_renderer_version_pixel_drift_disclosed_source_identity_and_viewer_attachment_correlation_pass,opened_in_cold_source_reverification_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
images/targeted_ultradetail/z605_ref.png,z605_ref.png,49890,E8DE12A77B189F3D36C8DE2D9C4A7E608447C4398F57821B0E5540432FE2BB75,12035,3116,L,,,2026-07-27T16:00:46.214563+00:00,targeted_symbol_formula_ultradetail_crop,public_targeted_source_audit_evidence_no_license_grant,605,606,592,X Appendix,sga6_fr_workpass.tex,1357,zoom605tor3.py,5ABC35E1D5F6CD8C28F49BF698333DFF4890CA941666610F05F8DD5266B5ED07,2026-07-27T16:00:32.898Z,Write,1,fraction_of_parent_page,0.72,0.345,0.9,0.375,11000,grayscale;autocontrast_cutoff_1;contrast_2.6;sharpness_1.9,"reference: preuve line ""element de torsion."" (band b top, ~fy 0.35) terminal period for comparison",1,2026-07-27T16:00:52.641Z,2026-07-27T16:00:52.641Z,1,5D40302B978E919AF68176DB0DA198155FBF3ECB335D355A8BF331EF6B22C7E6,1997x517,0.006416781846,0.003054872444,PASS,dimensions_exact_renderer_version_pixel_drift_disclosed_source_identity_and_viewer_attachment_correlation_pass,opened_in_cold_source_reverification_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
images/targeted_ultradetail/z605_tor.png,z605_tor.png,75983,09307651370105D866090E21A8400AFA8A261433DFE7547117748202751D6A1B,20057,2549,L,,,2026-07-27T15:58:24.774772+00:00,targeted_symbol_formula_ultradetail_crop,public_targeted_source_audit_evidence_no_license_grant,605,606,592,X Appendix,sga6_fr_workpass.tex,1357,zoom605tor.py,FCEC9F6D4DFEF4B55FE366DEB3A1C45CB19D98BC742D2F35D6C1BB0D96ACB301,2026-07-27T15:58:12.394Z,Write,1,fraction_of_parent_page,0.05,0.105,0.6,0.15,6000,grayscale;autocontrast_cutoff_1;contrast_2.4;sharpness_1.8,"""(i) ... groupe de torsion;"" terminal line (between top band and band a, ~fy 0.105-0.15)",1,2026-07-27T15:58:28.165Z,2026-07-27T15:58:28.165Z,1,337EF1747F055905FF994B31CAA80DDD7C6CD7DF456AA056A7532B3EC6612A67,1998x254,0.042095244851,0.017852498167,PASS,dimensions_exact_renderer_version_pixel_drift_disclosed_source_identity_and_viewer_attachment_correlation_pass,opened_in_cold_source_reverification_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
