"file","bytes","sha256","entries","source_like","last_write"
"Interlanguage_LaTeX_SourceBodies_CJK_ZH_JA_20260704.zip","2853626","22B8BE98F7B75EF5C28719646B680C2B2307438FCD0992ABFB4D1B4ED6D44613","196","168","2026-07-04T23:13:36"
"Interlanguage_LaTeX_SourceBodies_Persian_RTL_Arabic_20260704.zip","1384193","8978D3D969823FADB262246C170C7033223837CEDC8260FE42D50791045EE383","1253","1240","2026-07-04T23:13:35"
"Interlanguage_LaTeX_SourceBodies_Romance_ES_FR_20260704.zip","10440464","2AD0B89274D12B30BAE0D4C60AEA5120EA1F1A178F6A7BBF62CBB352A273F4D5","1526","1503","2026-07-04T23:13:35"
"Interlanguage_LaTeX_SourceBodies_Slavic_Interslavic_Support_20260704.zip","6406302","1A7416747F1AD814734FE9EE1A096D2D0A43EEA94D64E2B6E6106854FE1EA73B","1194","1187","2026-07-04T23:13:37"
