language_code,language_name,candidate_tex_hits,open_license_payload_files,blocked_or_not_uploaded_rows,target,status
pl,Polish,34,5,29,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
cs,Czech,36,8,28,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
sk,Slovak,36,9,27,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
sl,Slovene,33,8,25,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
sr,Serbian,22,9,13,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
hr,Croatian,22,9,13,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
bs,Bosnian,21,6,15,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
cnr,Montenegrin,21,6,15,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
bg,Bulgarian,31,5,26,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
mk,Macedonian,17,1,17,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
be,Belarusian,20,11,9,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
hsb,Upper Sorbian,14,3,11,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
dsb,Lower Sorbian,34,14,20,hundreds_of_source_tex_witnesses_per_language_where_available,below_target
