repo,repo_url,is_fork,is_private,license_spdx,license_name,license_url,open_source_policy
K4cp3rski/Termodynamika_R,https://github.com/K4cp3rski/Termodynamika_R,false,false,MIT,MIT License,,open_license_metadata
mhorod/tcs-suffering,https://github.com/mhorod/tcs-suffering,false,false,,,,blocked_missing_or_unclear_license_metadata
stosowana-pl/sprawozdania_fizyka_LaTeX,https://github.com/stosowana-pl/sprawozdania_fizyka_LaTeX,false,false,MIT,MIT License,,open_license_metadata
mlodyjesienin/Algebra-Komputerowa,https://github.com/mlodyjesienin/Algebra-Komputerowa,false,false,,,,blocked_missing_or_unclear_license_metadata
Rafisto/uni,https://github.com/Rafisto/uni,false,false,,,,blocked_missing_or_unclear_license_metadata
TCA166/notes,https://github.com/TCA166/notes,false,false,,,,blocked_missing_or_unclear_license_metadata
mdbrnowski/notes,https://github.com/mdbrnowski/notes,false,false,,,,blocked_missing_or_unclear_license_metadata
michaszko/analiza-II-zadania,https://github.com/michaszko/analiza-II-zadania,false,false,,,,blocked_missing_or_unclear_license_metadata
mdbrnowski/Lean4-course,https://github.com/mdbrnowski/Lean4-course,false,false,,,,blocked_missing_or_unclear_license_metadata
shgalus/shg,https://github.com/shgalus/shg,false,false,MIT,MIT License,,open_license_metadata
wojtask/CormenSol,https://github.com/wojtask/CormenSol,false,false,,,,blocked_missing_or_unclear_license_metadata
mattpap/masters-thesis,https://github.com/mattpap/masters-thesis,false,false,,,,blocked_missing_or_unclear_license_metadata
akwasniewski/zeta-suffering,https://github.com/akwasniewski/zeta-suffering,false,false,,,,blocked_missing_or_unclear_license_metadata
fechmistrz/almawaukh-knots,https://github.com/fechmistrz/almawaukh-knots,false,false,MIT,MIT License,,open_license_metadata
Antyradek/iphist,https://github.com/Antyradek/iphist,false,false,GPL-3.0,GNU General Public License v3.0,,open_license_metadata
ronia-jakim/zima-22,https://github.com/ronia-jakim/zima-22,false,false,,,,blocked_missing_or_unclear_license_metadata
MarRogala/Warianty-gry-w-zycie-Conwaya,https://github.com/MarRogala/Warianty-gry-w-zycie-Conwaya,false,false,,,,blocked_missing_or_unclear_license_metadata
emcezet/cmos_dac,https://github.com/emcezet/cmos_dac,false,false,MIT,MIT License,,open_license_metadata
Piotreksaw/PRSW-projekt,https://github.com/Piotreksaw/PRSW-projekt,false,false,,,,blocked_missing_or_unclear_license_metadata
Szynkaa/PATOspiewnik,https://github.com/Szynkaa/PATOspiewnik,false,false,,,,blocked_missing_or_unclear_license_metadata
NikodemWojtczak/riskscoop-ai,https://github.com/NikodemWojtczak/riskscoop-ai,false,false,,,,blocked_missing_or_unclear_license_metadata
NKFSUJ/LaTeX2025,https://github.com/NKFSUJ/LaTeX2025,false,false,,,,blocked_missing_or_unclear_license_metadata
mishioo/dysertacja,https://github.com/mishioo/dysertacja,false,false,,,,blocked_missing_or_unclear_license_metadata
piotrdurniat/physics-lab-1,https://github.com/piotrdurniat/physics-lab-1,false,false,,,,blocked_missing_or_unclear_license_metadata
kubi48/TransistorTester-documentation,https://github.com/kubi48/TransistorTester-documentation,false,false,,,,blocked_missing_or_unclear_license_metadata
draliii/oi-mszz,https://github.com/draliii/oi-mszz,false,false,,,,blocked_missing_or_unclear_license_metadata
VUT-FEKT-IBE/MPC-IBE-SZZ,https://github.com/VUT-FEKT-IBE/MPC-IBE-SZZ,false,false,,,,blocked_missing_or_unclear_license_metadata
suchalu22/Maturita_4EA_sps-prosek_26,https://github.com/suchalu22/Maturita_4EA_sps-prosek_26,false,false,,,,blocked_missing_or_unclear_license_metadata
Incanus3/ExiL,https://github.com/Incanus3/ExiL,false,false,,,,blocked_missing_or_unclear_license_metadata
jsimck/vsb-ing-state-exam,https://github.com/jsimck/vsb-ing-state-exam,false,false,,,,blocked_missing_or_unclear_license_metadata
