"Root","FileCount","TotalBytes","PackagePathCount"
"uploader-transfer/post-212df-output-drift-20260706","98","12166800","0"
"uploader-transfer/r3-cycle3-ur-ota-source-body-review-only-b3-handoff-20260706","10","11521136","0"
"uploader-transfer/r3-whole-corpus-postpush-b3-handoff-20260706","20","331633334","0"
"uploader-transfer/r6-1a1110eb-current-head-source-recovery-carryforward-20260706","1","4623","0"
"uploader-transfer/r6-212df-branch-visible-live-retry-recovery-continuation-20260706","2","65272","0"
"uploader-transfer/r6-212dfb-followup-gap-audit-20260706","1","90170","0"
"uploader-transfer/r6-8be81510-frontier-correction-source-recovery-carryforward-20260706","1","4623","0"
"uploader-transfer/r6-8be81510-source-gated-support-audit-20260706","1","3737","0"
"uploader-transfer/r6-8f7-priority-recovery-live-retry-20260706","2","100714","0"
"uploader-transfer/r6-9d7db086-authority-source-start-map-20260706","1","3737","0"
"uploader-transfer/r6-9d7db086-source-owner-reviewer-recovery-queue-20260706","2","6284","0"
"uploader-transfer/r6-a2c52a42-branch-advance-live-recovery-probe-cycle-20260706","1","4623","0"
"uploader-transfer/r6-ac6f4eb-branch-pickup-source-recovery-continuation-20260706","2","281398","0"
"uploader-transfer/r6-c7fb-branch-replay-source-recovery-continuation-20260706","3","53910","0"
"uploader-transfer/r6-interlanguage-authority-routing-8f7-integration-20260706","1","286097","0"
"uploader-transfer/r6-whole-corpus-33b23-access-continuation-20260706","24","186048","0"
"uploader-transfer/r9-whole-corpus-33b23-continuation-20260706","18","1347039","0"
"uploader-transfer/romance-8be81510-frontier-correction-current-head-20260706","2","122841","0"
"workflow/codex-laptop-handoffs","8","119165","0"
"workflow/interlanguage-methodology","1","8432","0"
"workflow/workflow_addendum_20260624_source_witness_public_surface.md","1","6814","0"
"zenodo-metadata/metadata_additional_author_cluster_current.json","1","3214","0"
"zenodo-metadata/metadata_author_bianchi_current.json","1","4221","0"
"zenodo-metadata/metadata_author_cayley_current.json","1","3315","0"
"zenodo-metadata/metadata_author_dedekind_current.json","1","2970","0"
"zenodo-metadata/metadata_author_dirichlet_current.json","1","2612","0"
"zenodo-metadata/metadata_author_frobenius_current.json","1","3326","0"
"zenodo-metadata/metadata_author_gauss_current.json","1","4920","0"
"zenodo-metadata/metadata_author_gibbs_old_physics_current.json","1","3395","0"
"zenodo-metadata/metadata_author_gordan_clebsch_gordan_current.json","1","3627","0"
"zenodo-metadata/metadata_author_kneser_current.json","1","3166","0"
"zenodo-metadata/metadata_author_maxwell_current.json","1","4376","0"
"zenodo-metadata/metadata_author_noether_current.json","1","31998","0"
"zenodo-metadata/metadata_author_poincare_current.json","1","3683","0"
"zenodo-metadata/metadata_author_riemann_current.json","1","2408","0"
"zenodo-metadata/metadata_author_steinitz_current.json","1","4496","0"
"zenodo-metadata/metadata_author_sylvester_current.json","1","2711","0"
"zenodo-metadata/metadata_author_weber_current.json","1","8221","0"
"zenodo-metadata/metadata_formalization_lean_candidates_current.json","1","4180","0"
"zenodo-metadata/metadata_interlanguage_translation_methodology_current.json","1","105700","0"
"zenodo-metadata/metadata_main_landing_current_after_author_refresh.json","1","38642","0"
"zenodo-metadata/metadata_non_european_corpus_chinese_current.json","1","6272","0"
"zenodo-metadata/metadata_non_european_corpus_historical_references_current.json","1","3416","0"
"zenodo-metadata/metadata_non_european_corpus_indian_current.json","1","3343","0"
"zenodo-metadata/metadata_non_european_corpus_islamic_arabic_current.json","1","3801","0"
"zenodo-metadata/metadata_satellite_author_cluster_public_current_clean_surface.json","1","2912","0"
"zenodo-metadata/metadata_satellite_classical_algebra_arithmetic_modern_latex_current.json","1","4206","0"
"zenodo-metadata/metadata_satellite_deligne_papers_translations.json","1","4417","0"
"zenodo-metadata/metadata_satellite_ega_working_translation_public_current.json","1","4083","0"
"zenodo-metadata/metadata_satellite_non_european_multilingual_current.json","1","5347","0"
"zenodo-metadata/metadata_satellite_sga_working_translation_public_current.json","1","7299","0"
"zenodo-metadata/metadata_satellite_ukrainian_applied_math_current.json","1","3462","0"
"zenodo-metadata/metadata_work_albattani_opus_astronomicum_current.json","1","4426","0"
"zenodo-metadata/metadata_workflow_current.json","1","5970","0"
"zenodo-metadata/overlays","165","231807","0"
"zenodo-metadata/UPLOAD_ALL_LATEX_SOURCE_BODIES_NOW_20260705.md","1","2568","0"
