book_page,source_pdf_page,png
458,476,img/vol1_pdf-476_bookp458.png
459,477,img/vol1_pdf-477_bookp459.png
460,478,img/vol1_pdf-478_bookp460.png
461,479,img/vol1_pdf-479_bookp461.png
462,480,img/vol1_pdf-480_bookp462.png
463,481,img/vol1_pdf-481_bookp463.png
464,482,img/vol1_pdf-482_bookp464.png
465,483,img/vol1_pdf-483_bookp465.png
466,484,img/vol1_pdf-484_bookp466.png
467,485,img/vol1_pdf-485_bookp467.png
468,486,img/vol1_pdf-486_bookp468.png
469,487,img/vol1_pdf-487_bookp469.png
470,488,img/vol1_pdf-488_bookp470.png
471,489,img/vol1_pdf-489_bookp471.png
472,490,img/vol1_pdf-490_bookp472.png
473,491,img/vol1_pdf-491_bookp473.png
474,492,img/vol1_pdf-492_bookp474.png
475,493,img/vol1_pdf-493_bookp475.png
