archive_path,source_basename,bytes,sha256,width_px,height_px,color_mode,embedded_dpi_x,embedded_dpi_y,modified_utc,category,public_disposition,parent_pdf_index_0based,parent_pdf_page_1based,printed_page,expose,linked_tex_object,linked_audit_entry,generator_script_basename,generator_source_sha256,generator_timestamp,generator_tool_class,generator_candidate_count,bbox_coordinate_system,bbox_fx0,bbox_fy0,bbox_fx1,bbox_fy1,render_dpi,processing_profile,description,session_read_count,first_read_timestamp,last_read_timestamp,viewer_attachment_count,viewer_attachment_sha256,viewer_attachment_dimensions,viewer_source_lanczos_max_mean_absolute_error,viewer_source_lanczos_max_changed_fraction,viewer_attachment_correlation,replay_disposition,qa_disposition,parent_scan_sha256
images/targeted_ultradetail/z618_Rprime_row.png,z618_Rprime_row.png,88086,9F1C08C62E6230CA01F2DB520EE07BB3019F802B9F06E415428D6BCE02C27C43,22519,3069,L,,,2026-07-27T18:09:47.169563+00:00,targeted_symbol_formula_ultradetail_crop,public_targeted_source_audit_evidence_no_license_grant,618,619,605,XII,sga6_fr_workpass.tex,1370,zoom618.py,B337784C9D2B1E1DBE863795B613A584C87246C92A6C4E04A943FDA3E74E4CA3,2026-07-27T18:09:28.198Z,Write,1,fraction_of_parent_page,0.42,0.69,0.99,0.74,6500,grayscale;autocontrast_cutoff_1;contrast_2.4;sharpness_1.8,,1,2026-07-27T18:09:51.523Z,2026-07-27T18:09:51.523Z,1,E4ED2653A4A7596BAB91B2E009D82E15EFCEE9C4DFE27FD1F4B1BF8045CA1202,1996x272,0.063874071673,0.022255908877,PASS,pixel_exact_and_png_byte_exact,opened_in_cold_source_reverification_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
images/targeted_ultradetail/z619_ft.png,z619_ft.png,94238,578B50641586E1DE132C2B86C5EEAB481FB8AF108A8512A35CE5AD75DE750CB4,16532,4531,L,,,2026-07-27T18:18:20.370607+00:00,targeted_symbol_formula_ultradetail_crop,public_targeted_source_audit_evidence_no_license_grant,619,620,606,XII,sga6_fr_workpass.tex,1371,zoom619.py,F44F7B144A7F5A0FF2CC058ECB57A2015F4DFF1D36836202B6B826C35E817050,2026-07-27T18:18:02.770Z,Write,1,fraction_of_parent_page,0.18,0.595,0.52,0.655,8000,grayscale;autocontrast_cutoff_1;contrast_2.4;sharpness_1.8,,1,2026-07-27T18:18:26.101Z,2026-07-27T18:18:26.101Z,1,21C416A8B654C1088A5E6268BC3C9E709F785B8208DBD017C7B7F028BC324A24,1999x548,0.027824131044,0.010008653962,PASS,pixel_exact_and_png_byte_exact,opened_in_cold_source_reverification_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
images/targeted_ultradetail/z619_talpha.png,z619_talpha.png,122472,847675F171A765385DF7B146DA4C5FE567F247B9F887FDD1CA6089B608B0A12A,19450,4909,L,,,2026-07-27T18:18:15.482675+00:00,targeted_symbol_formula_ultradetail_crop,public_targeted_source_audit_evidence_no_license_grant,619,620,606,XII,sga6_fr_workpass.tex,1371,zoom619.py,F44F7B144A7F5A0FF2CC058ECB57A2015F4DFF1D36836202B6B826C35E817050,2026-07-27T18:18:02.770Z,Write,2,fraction_of_parent_page,0.15,0.45,0.55,0.515,8000,grayscale;autocontrast_cutoff_1;contrast_2.4;sharpness_1.8,,1,2026-07-27T18:18:25.196Z,2026-07-27T18:18:25.196Z,1,10DF233DF5EF65AC48E12D4B5DBE7D36041AC7732392E044AF746953B3722987,1997x504,0.037043660729,0.014679757732,PASS,pixel_exact_and_png_byte_exact,opened_in_cold_source_reverification_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
images/targeted_ultradetail/z620_S_left.png,z620_S_left.png,114323,785E6483DE2237068395CA41622EBAFA110E637B373A2995FC49C8C95762618A,15316,5522,L,,,2026-07-27T18:27:27.084766+00:00,targeted_symbol_formula_ultradetail_crop,public_targeted_source_audit_evidence_no_license_grant,620,621,607,XII,sga6_fr_workpass.tex,1372,zoom620.py,4723CF24B91440D2C27D2D84046DA77D8783BF9B23E167BFF403AC910222FBA1,2026-07-27T18:27:14.797Z,Write,1,fraction_of_parent_page,0.06,0.495,0.34,0.56,9000,grayscale;autocontrast_cutoff_1;contrast_2.4;sharpness_1.8,,1,2026-07-27T18:27:41.624Z,2026-07-27T18:27:41.624Z,1,762C83A8D7BFDD15844F7D3F78DA42F9AD5C84D4DDC052AD9D44951066978C93,1999x721,0.008096974978,0.003643291826,PASS,pixel_exact_and_png_byte_exact,opened_in_cold_source_reverification_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
images/targeted_ultradetail/z620_S_right.png,z620_S_right.png,142309,E10550AE52D9C775D0E45587472639A2D04DD4B34335EFAD01B21FDF98FE51C3,19692,5522,L,,,2026-07-27T18:27:33.934008+00:00,targeted_symbol_formula_ultradetail_crop,public_targeted_source_audit_evidence_no_license_grant,620,621,607,XII,sga6_fr_workpass.tex,1372,zoom620.py,4723CF24B91440D2C27D2D84046DA77D8783BF9B23E167BFF403AC910222FBA1,2026-07-27T18:27:14.797Z,Write,1,fraction_of_parent_page,0.6,0.495,0.96,0.56,9000,grayscale;autocontrast_cutoff_1;contrast_2.4;sharpness_1.8,,1,2026-07-27T18:27:42.475Z,2026-07-27T18:27:42.475Z,1,4DC776BEA75DEDAD453E8CA27F38916DF041DE64FFB38B924880E903292C7843,1997x560,0.013032048072,0.005907074898,PASS,pixel_exact_and_png_byte_exact,opened_in_cold_source_reverification_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
images/targeted_ultradetail/z622_XY_prop41.png,z622_XY_prop41.png,145815,045B29EBBD6BD93CC30B1D9A6740788BCCCC897A59F508FB0DA6CE5084F48C80,19145,5523,L,,,2026-07-27T18:41:53.464817+00:00,targeted_symbol_formula_ultradetail_crop,public_targeted_source_audit_evidence_no_license_grant,622,623,609,XII,sga6_fr_workpass.tex,1374,zoom622.py,656CE342294EC351A393AAB36FF05C0920C939E024A7A738F57DEA63F394952B,2026-07-27T18:41:28.101Z,Write,1,fraction_of_parent_page,0.13,0.685,0.48,0.75,9000,grayscale;autocontrast_cutoff_1;contrast_2.4;sharpness_1.8,,1,2026-07-27T18:42:05.703Z,2026-07-27T18:42:05.703Z,1,F86C783862117DD2CE39F123BE6E0D471285E07B6761ED3503491619E5380170,1997x576,0.011512059756,0.006841860012,PASS,pixel_exact_and_png_byte_exact,opened_in_cold_source_reverification_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
images/targeted_ultradetail/z622_XY_rappel.png,z622_XY_rappel.png,141548,15E5DB84E90EF125E769B482A8BDA089D682BC2D5A4A1BBF4AF4173DC4699248,17504,5523,L,,,2026-07-27T18:41:46.934197+00:00,targeted_symbol_formula_ultradetail_crop,public_targeted_source_audit_evidence_no_license_grant,622,623,609,XII,sga6_fr_workpass.tex,1374,zoom622.py,656CE342294EC351A393AAB36FF05C0920C939E024A7A738F57DEA63F394952B,2026-07-27T18:41:28.101Z,Write,1,fraction_of_parent_page,0.5,0.54,0.82,0.605,9000,grayscale;autocontrast_cutoff_1;contrast_2.4;sharpness_1.8,,1,2026-07-27T18:42:04.562Z,2026-07-27T18:42:04.562Z,1,FC1C231961DBA48B3C709706725A635DA094CFE5D9889A43CD96C962623A4722,1999x631,0.021831835093,0.010865971813,PASS,pixel_exact_and_png_byte_exact,opened_in_cold_source_reverification_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
images/targeted_ultradetail/z624_GammaYN.png,z624_GammaYN.png,251026,2056C4771412FCE2EED96CC892DB32A5FFF6D3641F6A8D7E159043B890171AFA,20239,5098,L,,,2026-07-27T18:59:01.643417+00:00,targeted_symbol_formula_ultradetail_crop,public_targeted_source_audit_evidence_no_license_grant,624,625,611,XII,sga6_fr_workpass.tex,1376,zoom624.py,69146C011259FE5E7420E4B1E290FB001C8D5D57B4060294B6E38A72A927E5B0,2026-07-27T18:58:47.708Z,Write,1,fraction_of_parent_page,0.13,0.27,0.5,0.33,9000,grayscale;autocontrast_cutoff_1;contrast_2.4;sharpness_1.8,,1,2026-07-27T18:59:07.783Z,2026-07-27T18:59:07.783Z,1,A38C2A23EE81356DB78640DBD2C73805FDE6C881DA53BABF5C271D3D45B588CB,1997x503,0.025516405821,0.019582056982,PASS,pixel_exact_and_png_byte_exact,opened_in_cold_source_reverification_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
images/targeted_ultradetail/z626_R1_second.png,z626_R1_second.png,111438,91DD55B4201CAD8995834422675530CF8800CC43D9B577971E31C39FAC403E6D,19145,4248,L,,,2026-07-27T19:14:41.042303+00:00,targeted_symbol_formula_ultradetail_crop,public_targeted_source_audit_evidence_no_license_grant,626,627,613,XII,sga6_fr_workpass.tex,1378,zoom626.py,200B4E0E7B69EA233D7D1C1A84836089796C3BDC252719359AB21C6B1421C4BE,2026-07-27T19:14:16.555Z,Write,1,fraction_of_parent_page,0.2,0.515,0.55,0.565,9000,grayscale;autocontrast_cutoff_1;contrast_2.4;sharpness_1.8,,1,2026-07-27T19:14:50.331Z,2026-07-27T19:14:50.331Z,1,551CB130E1B634F6BD5D410BE3F036084A1B416E36887291B39487A5932ABC17,1997x443,0.035626803637,0.014982971071,PASS,pixel_exact_and_png_byte_exact,opened_in_cold_source_reverification_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
images/targeted_ultradetail/z626_RiR1_cmp.png,z626_RiR1_cmp.png,267842,FA7ED7CAA16BA6DA0263CDCFB6277C94A1BC1B78C693180791F0618DD58942B5,26075,5829,L,,,2026-07-27T19:16:05.841125+00:00,targeted_symbol_formula_ultradetail_crop,public_targeted_source_audit_evidence_no_license_grant,626,627,613,XII,sga6_fr_workpass.tex,1378,zoom626b.py,72D38BB51494025EDD19E96EC4FF251EE143CA92DA617152648104F1E2685222,2026-07-27T19:15:31.669Z,Write,1,fraction_of_parent_page,0.32,0.46,0.98,0.555,6500,grayscale;autocontrast_cutoff_1;contrast_2.3;sharpness_1.7,,1,2026-07-27T19:16:17.995Z,2026-07-27T19:16:17.995Z,1,DC07B85E5F3D0CB8B7AF2EC3B063161C5D8E613F2E2C8B18898C1D12C82D7C83,1999x447,0.072830598745,0.032829613912,PASS,pixel_exact_and_png_byte_exact,opened_in_cold_source_reverification_not_translation_certification,73FBBAD41340C12ECCDCFCF6C3A1656953FE3D712AA8E391678458CCD17B4BAA
