file,compile_exit,compiled_pages,delivered_pages,removed_pages_after_compile,overfull_hbox,overfull_vbox,underfull_hbox,missing_character,actionable_pdf_hits_total,actionable_pdf_hits,sha256,bytes
10-12 English Translation - al-Khwarizmi - Algebra.pdf,0,34,34,[],0,0,21,0,0,"{""replacement_char"": 0, ""white_square"": 0, ""black_square"": 0, ""title_key_leak"": 0, ""tcb_internal"": 0, ""sectioncolor"": 0, ""commentarycolor"": 0, ""local_mnt_path"": 0, ""local_windows_path"": 0, ""chatgpt"": 0, ""claude"": 0, ""transcription system_agent"": 0, ""html_404"": 0, ""nginx"": 0, ""overfull_text"": 0}",648092210eb051c20d9e866c3125c6e4fcbe72a1931106d3874187320d0a6f45,177245
60-02 Islamic Original - al-Khwarizmi - Algebra.pdf,0,33,33,[],0,0,0,0,0,"{""replacement_char"": 0, ""white_square"": 0, ""black_square"": 0, ""title_key_leak"": 0, ""tcb_internal"": 0, ""sectioncolor"": 0, ""commentarycolor"": 0, ""local_mnt_path"": 0, ""local_windows_path"": 0, ""chatgpt"": 0, ""claude"": 0, ""transcription system_agent"": 0, ""html_404"": 0, ""nginx"": 0, ""overfull_text"": 0}",9f8a7fa3696da64fbbbca97ac9f1eb4f8a931ec192fdaa2c41fa6efa5befe19d,174533
10-14 English Translation - Robert of Chester and Karpinski.pdf,0,48,28,"[2, 5, 6, 10, 14, 16, 18, 19, 20, 22, 23, 24, 32, 33, 34, 40, 42, 44, 45, 46]",0,0,1,0,0,"{""replacement_char"": 0, ""white_square"": 0, ""black_square"": 0, ""title_key_leak"": 0, ""tcb_internal"": 0, ""sectioncolor"": 0, ""commentarycolor"": 0, ""local_mnt_path"": 0, ""local_windows_path"": 0, ""chatgpt"": 0, ""claude"": 0, ""transcription system_agent"": 0, ""html_404"": 0, ""nginx"": 0, ""overfull_text"": 0}",82acda8f09c46d06f79f964eb98f4613ca8f6f4182eb7d39296c2319da1946de,169546
10-16 English Translation - Rosen - Algebra of Mohammed Ben Musa.pdf,0,43,42,[2],0,0,0,0,0,"{""replacement_char"": 0, ""white_square"": 0, ""black_square"": 0, ""title_key_leak"": 0, ""tcb_internal"": 0, ""sectioncolor"": 0, ""commentarycolor"": 0, ""local_mnt_path"": 0, ""local_windows_path"": 0, ""chatgpt"": 0, ""claude"": 0, ""transcription system_agent"": 0, ""html_404"": 0, ""nginx"": 0, ""overfull_text"": 0}",808150723a7d58fcb2d9e0941b104909d91f7b4b9a3d15244b4d810015595092,305968
70-05 Reference Text - Smith-Karpinski - Numerals.pdf,0,23,23,[],0,0,0,0,0,"{""replacement_char"": 0, ""white_square"": 0, ""black_square"": 0, ""title_key_leak"": 0, ""tcb_internal"": 0, ""sectioncolor"": 0, ""commentarycolor"": 0, ""local_mnt_path"": 0, ""local_windows_path"": 0, ""chatgpt"": 0, ""claude"": 0, ""transcription system_agent"": 0, ""html_404"": 0, ""nginx"": 0, ""overfull_text"": 0}",db4a134cbca2618cb0483bfe45014562b41c5ba2798d5c19cda4a35a5d766521,136739
