"manifest_id","relative_path","bytes","sha256","media_type","release_role","unit_id","source_scope","status","supersession","caveat"
"SGA2-X-L39-PUB-001","AUTHORITY_SCOPE_GAPS_AND_RIGHTS.md","1478","5AEE5D940B4F98BFA84093922C1E6A25E7436BA65EA0A7C5A776906E72BB93E9","text/markdown","archive_control","SGA2-X-L39","French3544-3553;raw3554;sub3555","exact_rights_curated_public","additive_no_public_file_superseded","bounded_lemma39_not_continuous_complete_critical_certified_or_rights_cleared"
"SGA2-X-L39-PUB-002","CUSTODY_INPUTS_AND_EXCLUSIONS.csv","1315","E4F58F5C031CE5A1C607A62DE876DE6D8C876A3ADBA6E11A62BF9469AB05F1DA","text/csv","archive_control","SGA2-X-L39","French3544-3553;raw3554;sub3555","exact_rights_curated_public","additive_no_public_file_superseded","bounded_lemma39_not_continuous_complete_critical_certified_or_rights_cleared"
"SGA2-X-L39-PUB-003","HANDOFF_IDENTITY.json","1134","EB964FDC97A2A38C40CED371917B5CFE8D83D33C0CFC194469036FA7ECD2EC6D","application/json","archive_control","SGA2-X-L39","French3544-3553;raw3554;sub3555","exact_rights_curated_public","additive_no_public_file_superseded","bounded_lemma39_not_continuous_complete_critical_certified_or_rights_cleared"
"SGA2-X-L39-PUB-004","independent_review/artifact_tool/INDEPENDENT_ARTIFACT_TOOL_A_E.png","303012","681626596B3FAD9CDC1617A406EF9D1DFA5E4B6B52831984E754CBC61B4FDD8D","image/png","artifact_tool_qa_evidence","SGA2-X-L39","French3544-3553;raw3554;sub3555","exact_rights_curated_public","additive_no_public_file_superseded","bounded_lemma39_not_continuous_complete_critical_certified_or_rights_cleared"
"SGA2-X-L39-PUB-005","independent_review/artifact_tool/INDEPENDENT_ARTIFACT_TOOL_F_J.png","170598","9077335F75D66F51B0822DCEEFD398AC4BF2AC805B60A1DB15D4AB6721E2F77A","image/png","artifact_tool_qa_evidence","SGA2-X-L39","French3544-3553;raw3554;sub3555","exact_rights_curated_public","additive_no_public_file_superseded","bounded_lemma39_not_continuous_complete_critical_certified_or_rights_cleared"
"SGA2-X-L39-PUB-006","independent_review/artifact_tool/INDEPENDENT_ARTIFACT_TOOL_FORMULA_ERRORS.ndjson","61","44B42BBC2FA2BBF67B44AB8B232A112CF94C577C317F8B4F242E70E8F343DB89","application/x-ndjson","artifact_tool_qa_evidence","SGA2-X-L39","French3544-3553;raw3554;sub3555","exact_rights_curated_public","additive_no_public_file_superseded","bounded_lemma39_not_continuous_complete_critical_certified_or_rights_cleared"
"SGA2-X-L39-PUB-007","independent_review/artifact_tool/INDEPENDENT_ARTIFACT_TOOL_K_O.png","666741","415893905446686805D65644893BB32384A3E41B95509A0D5AE9FAA25FE74EDA","image/png","artifact_tool_qa_evidence","SGA2-X-L39","French3544-3553;raw3554;sub3555","exact_rights_curated_public","additive_no_public_file_superseded","bounded_lemma39_not_continuous_complete_critical_certified_or_rights_cleared"
"SGA2-X-L39-PUB-008","independent_review/artifact_tool/INDEPENDENT_ARTIFACT_TOOL_OVERVIEW.ndjson","26057","5F7611333937C289D7A6B23319B14CDCB8368BF8E392CBB0B6B578D7D4A238D1","application/x-ndjson","artifact_tool_qa_evidence","SGA2-X-L39","French3544-3553;raw3554;sub3555","exact_rights_curated_public","additive_no_public_file_superseded","bounded_lemma39_not_continuous_complete_critical_certified_or_rights_cleared"
"SGA2-X-L39-PUB-009","independent_review/artifact_tool/INDEPENDENT_ARTIFACT_TOOL_P_T.png","396502","A71B13E02395E271DDDC92547859796296E75D0A033FA6B563C61548B7117546","image/png","artifact_tool_qa_evidence","SGA2-X-L39","French3544-3553;raw3554;sub3555","exact_rights_curated_public","additive_no_public_file_superseded","bounded_lemma39_not_continuous_complete_critical_certified_or_rights_cleared"
"SGA2-X-L39-PUB-010","independent_review/artifact_tool/INDEPENDENT_ARTIFACT_TOOL_RECEIPT.json","1819","194105F81FBE8205D47C90E1AB1FE20A0A5ADA22C407300EDC5AF2DA4C36B806","application/json","artifact_tool_qa_evidence","SGA2-X-L39","French3544-3553;raw3554;sub3555","exact_rights_curated_public","additive_no_public_file_superseded","bounded_lemma39_not_continuous_complete_critical_certified_or_rights_cleared"
"SGA2-X-L39-PUB-011","independent_review/artifact_tool/INDEPENDENT_ARTIFACT_TOOL_REGION.ndjson","664","09CB26BFDFE89D87752024B565EAD5FCFF283CADD3C4DA2D13E86562F0C8D833","application/x-ndjson","artifact_tool_qa_evidence","SGA2-X-L39","French3544-3553;raw3554;sub3555","exact_rights_curated_public","additive_no_public_file_superseded","bounded_lemma39_not_continuous_complete_critical_certified_or_rights_cleared"
