"artifact","bytes","sha256","last_write_time_local"
"NOETHER_INTERSLAVIC_LEGIBILITY_LEDGER_20260704.csv","3151","CC69BE0AE2E7BD2B7180A3BB081BD7C944DA2B96777E21B5EFF14608854F7010","2026-07-04T05:46:11.4910180+02:00"
"NOETHER_INTERSLAVIC_LIMITED_SUPPORT_REVIEW_MICROPACKETS_20260704.csv","1413","17566B705C716F47476E97B6AC187A6D982D0B2BFAD29806B4CE5FFE54229BDD","2026-07-04T06:09:08.2919669+02:00"
"NOETHER_INTERSLAVIC_LIMITED_SUPPORT_REVIEW_MICROPACKETS_20260704.md","9813","A09F9CE74EBAD453E3D40A222743D53102643004C29B0D30FD09AC9847FB5F90","2026-07-04T06:09:08.2919669+02:00"
"NOETHER_SLAVIC_ACCEPTED_CORRECTION_INGESTION_DIRECT_SENTINEL_20260704.csv","1471","BE0395FBBF3BC7444A04C581F595BF927AB7705973FA5B22EA78E510F2B5E4D8","2026-07-04T08:05:12.9777900+02:00"
"NOETHER_SLAVIC_ACCEPTED_CORRECTION_INGESTION_DIRECT_SENTINEL_20260704.md","2073","E67AAC1780A1F10B1DF0F5DD3723A5DD8B6767B6DCE5B554B00E30954EE861B9","2026-07-04T08:06:28.5667340+02:00"
"NOETHER_SLAVIC_ARXIV_TEX_SOURCE_SHELF_20260704.csv","3967","7652C7A6A96B0833A4E5EC3CB6AA0761A73BEDA2989630282607CCE54771B16C","2026-07-04T06:10:05.7830653+02:00"
"NOETHER_SLAVIC_BASELINE_GAP_CLOSURE_REGISTER_20260704.csv","16487","828C8D0C81E6DEFB1B7129CA1A6777CC79806B77844F4A9218469F25A98B091B","2026-07-04T08:12:56.9308145+02:00"
"NOETHER_SLAVIC_BASELINE_WATCHER_20260704.ps1","59769","F75D6C4CD025DBD4387B825FB7817E37ACB11063F81F1D803D19AA69016D35B9","2026-07-04T08:12:56.9235005+02:00"
"NOETHER_SLAVIC_BROAD_REFERENCE_REGISTER_20260704.csv","7750","54E78E366E5352084C71BF2A0F1005B915051D0A13F19A8A2E8B7B78FC61A8FA","2026-07-04T05:46:11.4890134+02:00"
"NOETHER_SLAVIC_CANONICAL_BASELINE_ALL_OF_THAT_DONE_20260704.md","15970","15364447222EDFFD1BC7B47BCA53EED5D8629D3377E2AE03B27E3683C6F2896B","2026-07-04T08:24:43.8404833+02:00"
