authority_pdf_page	source_volume_page	paper_folio	prompt_id	disposition	source_status	english_status	apparatus_status	final_status	record_sha256_source	record_sha256_english	record_sha256_apparatus
1	299	299	P01	INCLUDE_AUTHORITY_PAGE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	829DA4FA710FA086CDAD72BE87FEE62FC560D90CAC2E6EE7A9557A55DBF7E367	262BD7E57AD981B01E937A47413BECF30F7BF60030F2713BB3AA736A90978124	FBDE23C469CBE18BD009E17190BE75441B632873B395A9A2210BA2290AA00EE2
2	300	300	P01	INCLUDE_AUTHORITY_PAGE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	32940FC5BF94BEE5DDFB48578A2012A277BC27789BF77C54EBC5FF8A194A040A	914DA7A5FB3CB9D0ABEF4E40C859FEBA3A9BF41DE615D108D08769F02BD39A34	5CF71D4A7EE151F26B465EBA3E88C266234DE055B61894A1F9802BA2852CF4E8
3	301	301	P01	INCLUDE_AUTHORITY_PAGE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	17D734706DA6C049A75EE66CE810C7FF451601566509D73046DDCF344416B461	475E6A41AC33E6793176337F94AD140D2AEC8C07D37360AD2998A68777146EF6	F64093C272043DF28DBB018010667D03102CBE258A0348C337999EC7CC230365
4	302	302	P01	INCLUDE_AUTHORITY_PAGE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	96D42D4274D7A9EFF97025EB20FD3CFFD2F48F59C63AF29A526A5C963DC57831	472E902F826096916C45B841D0B77A6BDB0C39E17232603F12CEAEF0C6E46F50	4EF2B1A85F4DCAC57F8A828B8592A27CF447A4F409470242D32C00F032ECAF0C
5	303	303	P01	INCLUDE_AUTHORITY_PAGE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	569A3D611CB5AE0D920DD892B3292D2353664094D1D0DC2B8882F7B0B2323CD8	CF8A2D34D9265300A7F78D3429560D448794D1227E08142B38B98AC243D56CCC	90F49299C36E75864E6CA2CDA15F884373085BF4C16601C6978BC10B3D80A47C
6	304	304	P01	INCLUDE_AUTHORITY_PAGE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	68550CF4951664E2C28A163ED9FDFA9AC432B015DA36A5AB3EF4E772046A083E	5FB5198ED49A115C46803D182682758297C5E28FAF44428DE81E49059A3245F1	AB3E34A575D0FCAC7286D57921DC55EB9519AD009F283BB39CD9212E9615643C
7	305	305	P02	INCLUDE_AUTHORITY_PAGE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	4F066EF0833384B352A7D3EE444F59236837EC7DDAA14D1337B6CAC1EC7B86DD	2F3A744D3506B932A47ACD3EBB042AE8DD7CAEF73B0D96B04748C3F46186D609	8CF22964D378CC12CB7F9CB148D83C83B84A640B49BDBA72AB26E03D81D17072
8	306	306	P02	INCLUDE_AUTHORITY_PAGE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	94C50C8BD1E8D39B3F9E21C6E01D39617A2969321CB87FE9F515FE0EFB45BE0F	5598D1072BBBC65647F4FFE50082E6E8B78029982596A8F5DDE2EDB0DDD3E0F6	6447149B6BEB7C59086ECA6056696DDF1C85CCFA90255FA2170BB55C2035B30A
9	307	307	P02	INCLUDE_AUTHORITY_PAGE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	8965D44B0F6802742EAA610D47526D130CFC13F053A74B8874D2CECEF991D3BB	80D9A4802D76D090597A5593433024D788B578B984CAD857206F8B72B7FB77D1	A73D59DE130A36C4A06EB55AA54762889253C113FD02FDE14DB90288C3B6C387
10	308	308	P02	INCLUDE_AUTHORITY_PAGE	FROZEN	ACCEPTED	ACCEPTED	ACCEPTED	A689330A02DCDD7A6B08BE00711440F0BF03FDBD57E13A908EE7B222E53F2372	A1C906264DC9EE0F0D3382C05FAA5309FC27E5ED81095B9C6687A5696B3B9A31	78BC50B49448B44A94C2086B10133940D050334636A4420F3209B7BC275C72CD
